998089, 34.066349833333334, -118.17070766666667, +00.816,  -02.579,  +20.3,  +22.1, $GNRMC, 205908.00, A, 3403.98099, N, 11810.24246, W, 0.175, , 260324, , , D, V*0D
998089, 34.066347, -118.17071016666667, +00.842,  -02.795,  +19.3,  +22.1, $GNRMC, 205912.00, A, 3403.98082, N, 11810.24261, W, 0.195, , 260324, , , D, V*07
998089, 34.066347, -118.17071016666667, +00.812,  -02.937,  +19.3,  +22.1, $GNRMC, 205912.00, A, 3403.98082, N, 11810.24261, W, 0.195, , 260324, , , D, V*07
998089, 34.06634533333333, -118.17071233333333, +00.812,  -02.937,  +19.3,  +22.1, $GNRMC, 205915.00, A, 3403.98072, N, 11810.24274, W, 0.190, , 260324, , , D, V*0E
998089, 34.06634533333333, -118.17071233333333, +00.794,  -03.131,  +19.3,  +22.1, $GNRMC, 205915.00, A, 3403.98072, N, 11810.24274, W, 0.190, , 260324, , , D, V*0E
998089, 34.06634533333333, -118.17071233333333, +00.794,  -03.131,  +19.3,  +22.1, $GNRMC, 205915.00, A, 3403.98072, N, 11810.24274, W, 0.190, , 260324, , , D, V*0E
998089, 34.0663435, -118.17071583333333, +00.794,  -03.131,  +19.3,  +22.1, $GNRMC, 205919.00, A, 3403.98061, N, 11810.24295, W, 0.152, , 260324, , , D, V*01
998089, 34.0663435, -118.17071583333333, +01.225,  -02.397,  +20.3,  +22.1, $GNRMC, 205919.00, A, 3403.98061, N, 11810.24295, W, 0.152, , 260324, , , D, V*01
998089, 34.0663435, -118.17071583333333, +01.225,  -02.397,  +20.3,  +22.1, $GNRMC, 205919.00, A, 3403.98061, N, 11810.24295, W, 0.152, , 260324, , , D, V*01
998089, 34.066342, -118.17071966666667, +01.079,  -02.256,  +19.3,  +22.1, $GNRMC, 205923.00, A, 3403.98052, N, 11810.24318, W, 0.163, , 260324, , , D, V*0E
998089, 34.066342, -118.17071966666667, +01.157,  -02.136,  +20.3,  +22.1, $GNRMC, 205923.00, A, 3403.98052, N, 11810.24318, W, 0.163, , 260324, , , D, V*0E
998089, 34.06634066666667, -118.17072183333333, +01.280,  -02.356,  +20.3,  +22.1, $GNRMC, 205926.00, A, 3403.98044, N, 11810.24331, W, 0.217, , 260324, , , D, V*07
998089, 34.06634066666667, -118.17072183333333, +01.397,  -02.570,  +20.3,  +22.1, $GNRMC, 205926.00, A, 3403.98044, N, 11810.24331, W, 0.217, , 260324, , , D, V*07
998089, 34.06634116666667, -118.1707255, +01.649,  -02.376,  +20.3,  +22.1, $GNRMC, 205929.00, A, 3403.98047, N, 11810.24353, W, 0.170, , 260324, , , D, V*0D
998089, 34.06634116666667, -118.1707255, +01.649,  -02.376,  +20.3,  +22.1, $GNRMC, 205929.00, A, 3403.98047, N, 11810.24353, W, 0.170, , 260324, , , D, V*0D
998089, 34.06634116666667, -118.1707255, +01.508,  -02.332,  +19.3,  +22.1, $GNRMC, 205929.00, A, 3403.98047, N, 11810.24353, W, 0.170, , 260324, , , D, V*0D
998089, 34.06634366666667, -118.17072733333333, +01.508,  -02.332,  +19.3,  +22.1, $GNRMC, 205933.00, A, 3403.98062, N, 11810.24364, W, 0.171, , 260324, , , D, V*04
998089, 34.06634366666667, -118.17072733333333, +01.699,  -02.542,  +20.3,  +22.1, $GNRMC, 205933.00, A, 3403.98062, N, 11810.24364, W, 0.171, , 260324, , , D, V*04
998089, 34.066343333333336, -118.1707285, +01.619,  -02.530,  +19.3,  +22.1, $GNRMC, 205936.00, A, 3403.98060, N, 11810.24371, W, 0.197, , 260324, , , D, V*0F
998089, 34.066343333333336, -118.1707285, +01.706,  -02.317,  +19.3,  +22.1, $GNRMC, 205936.00, A, 3403.98060, N, 11810.24371, W, 0.197, , 260324, , , D, V*0F
998089, 34.06634233333333, -118.17073083333334, +01.592,  -02.649,  +20.3,  +22.1, $GNRMC, 205939.00, A, 3403.98054, N, 11810.24385, W, 0.179, , 260324, , , D, V*0C
998089, 34.06634233333333, -118.17073083333334, +01.442,  -02.704,  +20.3,  +22.1, $GNRMC, 205939.00, A, 3403.98054, N, 11810.24385, W, 0.179, , 260324, , , D, V*0C
998089, 34.06634283333333, -118.17072816666666, +01.442,  -02.704,  +20.3,  +22.1, $GNRMC, 205942.00, A, 3403.98057, N, 11810.24369, W, 0.247, , 260324, , , D, V*0F
998089, 34.06634283333333, -118.17072816666666, +01.495,  -01.592,  +19.3,  +22.1, $GNRMC, 205942.00, A, 3403.98057, N, 11810.24369, W, 0.247, , 260324, , , D, V*0F
998089, 34.06634283333333, -118.17073133333334, +01.841,  -02.282,  +20.3,  +22.1, $GNRMC, 205945.00, A, 3403.98057, N, 11810.24388, W, 0.157, , 260324, , , D, V*05
998089, 34.06634283333333, -118.17073133333334, +01.889,  -02.334,  +19.3,  +22.1, $GNRMC, 205945.00, A, 3403.98057, N, 11810.24388, W, 0.157, , 260324, , , D, V*05
998089, 34.06634283333333, -118.170732, +01.235,  -04.759,  +19.3,  +22.1, $GNRMC, 205948.00, A, 3403.98057, N, 11810.24392, W, 0.168, , 260324, , , D, V*0F
998089, 34.06634283333333, -118.170732, +01.630,  -02.924,  +20.3,  +22.1, $GNRMC, 205948.00, A, 3403.98057, N, 11810.24392, W, 0.168, , 260324, , , D, V*0F
