998089, 34.066393, -118.17054416666667, +01.232,  -01.790,  +19.3,  +22.1, $GNRMC, 205653.00, A, 3403.98358, N, 11810.23265, W, 0.192, , 260324, , , D, V*0D
998089, 34.066393833333336, -118.1705485, +01.129,  -01.993,  +19.3,  +22.1, $GNRMC, 205656.00, A, 3403.98363, N, 11810.23291, W, 0.194, , 260324, , , D, V*0D
998089, 34.066393833333336, -118.1705485, +00.903,  -01.742,  +19.3,  +22.1, $GNRMC, 205656.00, A, 3403.98363, N, 11810.23291, W, 0.194, , 260324, , , D, V*0D
998089, 34.066395, -118.17055333333333, +00.876,  -01.918,  +19.3,  +22.1, $GNRMC, 205659.00, A, 3403.98370, N, 11810.23320, W, 0.193, , 260324, , , D, V*0C
998089, 34.066395, -118.17055333333333, +00.876,  -01.918,  +19.3,  +22.1, $GNRMC, 205659.00, A, 3403.98370, N, 11810.23320, W, 0.193, , 260324, , , D, V*0C
998089, 34.066395166666666, -118.17055716666667, +01.173,  -01.648,  +19.3,  +22.1, $GNRMC, 205702.00, A, 3403.98371, N, 11810.23343, W, 0.133, , 260324, , , D, V*0D
998089, 34.066395166666666, -118.17055716666667, +00.553,  -01.717,  +19.3,  +22.1, $GNRMC, 205702.00, A, 3403.98371, N, 11810.23343, W, 0.133, , 260324, , , D, V*0D
998089, 34.0663955, -118.1705605, +00.860,  -01.899,  +19.3,  +22.1, $GNRMC, 205705.00, A, 3403.98373, N, 11810.23363, W, 0.162, , 260324, , , D, V*0E
998089, 34.0663955, -118.1705605, +00.918,  -02.303,  +19.3,  +22.1, $GNRMC, 205705.00, A, 3403.98373, N, 11810.23363, W, 0.162, , 260324, , , D, V*0E
998089, 34.066394833333334, -118.17056233333334, +00.918,  -02.303,  +19.3,  +22.1, $GNRMC, 205708.00, A, 3403.98369, N, 11810.23374, W, 0.224, , 260324, , , D, V*0F
998089, 34.066394833333334, -118.17056233333334, +00.918,  -02.303,  +19.3,  +22.1, $GNRMC, 205708.00, A, 3403.98369, N, 11810.23374, W, 0.224, , 260324, , , D, V*0F
998089, 34.066394333333335, -118.17056416666667, +00.977,  -02.499,  +19.3,  +22.1, $GNRMC, 205711.00, A, 3403.98366, N, 11810.23385, W, 0.173, , 260324, , , D, V*07
998089, 34.066394333333335, -118.17056416666667, +01.047,  -02.338,  +19.3,  +22.1, $GNRMC, 205711.00, A, 3403.98366, N, 11810.23385, W, 0.173, , 260324, , , D, V*07
998089, 34.0663945, -118.170565, +00.866,  -01.745,  +19.3,  +22.1, $GNRMC, 205714.00, A, 3403.98367, N, 11810.23390, W, 0.218, , 260324, , , D, V*09
998089, 34.0663945, -118.170565, +00.872,  -01.206,  +19.3,  +22.1, $GNRMC, 205714.00, A, 3403.98367, N, 11810.23390, W, 0.218, , 260324, , , D, V*09
998089, 34.0663945, -118.170565, +00.939,  -01.450,  +19.3,  +22.1, $GNRMC, 205714.00, A, 3403.98367, N, 11810.23390, W, 0.218, , 260324, , , D, V*09
998089, 34.06639533333333, -118.17056516666666, +01.176,  -01.454,  +19.3,  +22.1, $GNRMC, 205718.00, A, 3403.98372, N, 11810.23391, W, 0.122, , 260324, , , D, V*0A
998089, 34.06639533333333, -118.17056516666666, +01.013,  -01.626,  +19.3,  +22.1, $GNRMC, 205718.00, A, 3403.98372, N, 11810.23391, W, 0.122, , 260324, , , D, V*0A
998089, 34.06639533333333, -118.17056516666666, +01.176,  -01.853,  +19.3,  +22.1, $GNRMC, 205718.00, A, 3403.98372, N, 11810.23391, W, 0.122, , 260324, , , D, V*0A
998089, 34.06639533333333, -118.17056516666666, +01.073,  -02.029,  +19.3,  +22.1, $GNRMC, 205718.00, A, 3403.98372, N, 11810.23391, W, 0.122, , 260324, , , D, V*0A
998089, 34.066395166666666, -118.170569, +01.055,  -01.846,  +19.3,  +22.1, $GNRMC, 205723.00, A, 3403.98371, N, 11810.23414, W, 0.198, , 260324, , , D, V*0A
998089, 34.066395166666666, -118.170569, +01.142,  -01.949,  +19.3,  +22.1, $GNRMC, 205723.00, A, 3403.98371, N, 11810.23414, W, 0.198, , 260324, , , D, V*0A
998089, 34.06639466666667, -118.170574, +01.142,  -01.949,  +19.3,  +22.1, $GNRMC, 205726.00, A, 3403.98368, N, 11810.23444, W, 0.215, , 260324, , , D, V*04
998089, 34.06639466666667, -118.170574, +01.126,  -01.998,  +19.3,  +22.1, $GNRMC, 205726.00, A, 3403.98368, N, 11810.23444, W, 0.215, , 260324, , , D, V*04
998089, 34.06639466666667, -118.170574, +01.213,  -01.723,  +19.3,  +22.1, $GNRMC, 205726.00, A, 3403.98368, N, 11810.23444, W, 0.215, , 260324, , , D, V*04
998089, 34.06639416666667, -118.17057766666667, +01.213,  -01.723,  +19.3,  +22.1, $GNRMC, 205730.00, A, 3403.98365, N, 11810.23466, W, 0.180, , 260324, , , D, V*01
998089, 34.06639416666667, -118.17057766666667, +01.080,  -01.456,  +19.3,  +22.1, $GNRMC, 205730.00, A, 3403.98365, N, 11810.23466, W, 0.180, , 260324, , , D, V*01
998089, 34.0663935, -118.17058133333333, +01.175,  -01.646,  +19.3,  +22.1, $GNRMC, 205733.00, A, 3403.98361, N, 11810.23488, W, 0.208, , 260324, , , D, V*05
998089, 34.0663935, -118.17058133333333, +01.277,  -02.012,  +19.3,  +22.1, $GNRMC, 205733.00, A, 3403.98361, N, 11810.23488, W, 0.208, , 260324, , , D, V*05
